allele,genbankNucleotideAccession,genbankProteinAccession,refseqNucleotideAccession,refseqProteinAccession,ncbiFamily,expectedPhenotype,class,subclass,extendedAnnotation,nodeId,geneFamily,tier,mrsnSuperFamily
,CP003505.2,AFJ38137.1,NG_047897.1,WP_014714131.1,fosI,Fosfomycin,Fosfomycin,,fosfomycin resistance hydrolase FosI,fosI,fosI,3,fos
fosA3,AB522970.2,BAJ10054.1,NG_050407.1,WP_014839980.1,fos_A3_A4,Fosfomycin,Fosfomycin,,fosfomycin resistance glutathione transferase FosA3,fosA3,fosA,3,fos
blaOXA-29,AJ400619.1,CAC35728.1,NG_049586.1,WP_014845076.1,blaOXA-PR,"Beta-lactam: Penicillins, Early Cephalosporins",Beta-lactam,"Penicillins, Early Cephalosporins",oxacillin-hydrolyzing class D beta-lactamase OXA-29,blaOXA-29,blaOXA,3,blaOXA
blaACT-52,KX192171.1,ANE37575.1,NG_050715.1,WP_014882211.1,blaACT,"Beta-lactam: Penicillins, Early Cephalosporins (AmpC)",Beta-lactam,"Penicillins, Early Cephalosporins (AmpC)",cephalosporin-hydrolyzing class C beta-lactamase ACT-52,blaACT-52,blaACT,3,blaACT
blaOXA-137,EU086834.1,ABW76138.1,NG_049436.1,WP_014932145.1,blaOXA-63_fam,"Beta-lactam: Penicillins, Early Cephalosporins",Beta-lactam,"Penicillins, Early Cephalosporins",OXA-63 family oxacillin-hydrolyzing class D beta-lactamase OXA-137,blaOXA-137,blaOXA,3,blaOXA-63_fam
,CP003490.1,AFR71179.1,NG_066688.1,WP_014936356.1,tva(B),Other antimicrobial: Tiamulin,Other antimicrobial,Tiamulin,ABC-F type ribosomal protection protein Tva(B),tva(B),tva(B),3,tva
blaOXA-1099,OM977008.1,UNN26059.1,NG_079936.1,WP_014936873.1,blaOXA-63_fam,"Beta-lactam: Penicillins, Early Cephalosporins",Beta-lactam,"Penicillins, Early Cephalosporins",OXA-63 family oxacillin-hydrolyzing class D beta-lactamase OXA-1099,blaOXA-1099,blaOXA,3,blaOXA-63_fam
,CP018074.1,APE19944.1,NG_148600.1,WP_015031687.1,rox_sv,Rifamycin,Rifamycin,,rifampin monooxygenase Rox,rox_sv,rox,3,rox
blaSAM-1,CP003746.2,AFV00127.1,NG_244640.1,WP_015048279.1,blaSAM,Beta-lactam: Carbapenems,Beta-lactam,Carbapenems,subclass B3 metallo-beta-lactamase SAM-1,blaSAM-1,blaSAM,2,blaSAM
blaCMY-4,AJ007826.1,CAA07695.1,NG_048834.1,WP_015056382.1,blaCMY,"Beta-lactam: Penicillins, Early Cephalosporins (AmpC)",Beta-lactam,"Penicillins, Early Cephalosporins (AmpC)",class C beta-lactamase CMY-4,blaCMY-4,blaCMY,3,blaCMY
blaCMY-6,AJ011293.1,CAB36902.1,NG_048855.1,WP_015058212.1,blaCMY,"Beta-lactam: Penicillins, Early Cephalosporins (AmpC)",Beta-lactam,"Penicillins, Early Cephalosporins (AmpC)",class C beta-lactamase CMY-6,blaCMY-6,blaCMY,3,blaCMY
qnrS11,JQ269335.1,AFM45990.1,NG_059318.1,WP_015058260.1,qnrS,Quinolone,Quinolone,,quinolone resistance pentapeptide repeat protein QnrS11,qnrS11,qnrS,3,qnr
blaTEM-171,GQ149347.1,ADA79630.1,NG_050214.1,WP_015058867.1,blaTEM,"Beta-lactam: Penicillins, Early Cephalosporins",Beta-lactam,"Penicillins, Early Cephalosporins",class A beta-lactamase TEM-171,blaTEM-171,blaTEM,3,blaTEM
blaTEM-135,AJ634602.1,CAG25427.1,NG_050179.1,WP_015058868.1,blaTEM,"Beta-lactam: Penicillins, Early Cephalosporins",Beta-lactam,"Penicillins, Early Cephalosporins",broad-spectrum class A beta-lactamase TEM-135,blaTEM-135,blaTEM,3,blaTEM
blaTEM-52,Y13612.1,CAA73933.1,NG_050272.1,WP_015058977.1,blaTEM,Beta-lactam: ESBL,Beta-lactam,ESBL,extended-spectrum class A beta-lactamase TEM-52,blaTEM-52,blaTEM,2,blaTEM
blaCTX-M-105,HQ833651.1,ADY02554.1,NG_048904.1,WP_015059026.1,blaCTX-M,Beta-lactam: ESBL,Beta-lactam,ESBL,extended-spectrum class A beta-lactamase CTX-M-105,blaCTX-M-105,blaCTX-M,2,blaCTX-M
aac(6')-33,GQ337064.1,ACT99625.1,NG_047267.1,WP_015059044.1,aac(6')_Ia_fam,Aminoglycoside: Unknown,Aminoglycoside,Unknown,aminoglycoside 6'-N-acetyltransferase AAC(6')-33,aac(6')-33,aac(6'),3,aac(6')
blaGES-19,JN596280.1,AEZ05107.1,NG_049121.1,WP_015059045.1,blaGES,Beta-lactam: ESBL,Beta-lactam,ESBL,extended-spectrum class A beta-lactamase GES-19,blaGES-19,blaGES,2,blaGES
blaGES-20,JN596280.1,AEZ05108.1,NG_049123.1,WP_015059046.1,blaGES,Beta-lactam: Carbapenems,Beta-lactam,Carbapenems,carbapenem-hydrolyzing class A beta-lactamase GES-20,blaGES-20,blaGES,1,blaGES
,KF556708.1,AGX26876.1,NG_048051.1,WP_015059047.1,qacL,Other non-antimicrobial: Quaternary ammonium,Other non-antimicrobial,Quaternary ammonium,quaternary ammonium compound efflux SMR transporter QacL,qacL,qacL,4,qac
blaCMY-5,Y17716.1,CAB50867.1,NG_048845.1,WP_015059331.1,blaCMY,"Beta-lactam: Penicillins, Early Cephalosporins (AmpC)",Beta-lactam,"Penicillins, Early Cephalosporins (AmpC)",class C beta-lactamase CMY-5,blaCMY-5,blaCMY,3,blaCMY
,HE611647.1,CCE60912.1,NG_047475.1,WP_015059965.1,apmA,Aminoglycoside: Apramycin,Aminoglycoside,Apramycin,aminocyclitol acetyltransferase ApmA,apmA,apmA,3,apmA
,FN396877.1,CAZ39951.1,NG_047770.1,WP_015059985.1,ere(A),Macrolide,Macrolide,,EreA family erythromycin esterase,ere(A),ere(A),3,ere
blaOXA-48,AY236073.2,AAP70012.1,NG_049762.1,WP_015059991.1,blaOXA-48_fam,Beta-lactam: Carbapenems (OXA-48 family),Beta-lactam,Carbapenems (OXA-48 family),OXA-48 family carbapenem-hydrolyzing class D beta-lactamase OXA-48,blaOXA-48,blaOXA,1,blaOXA-48_fam
blaOXA-181,JN205800.1,AEP16366.1,NG_049482.1,WP_015060052.1,blaOXA-48_fam,Beta-lactam: Carbapenems (OXA-48 family),Beta-lactam,Carbapenems (OXA-48 family),OXA-48 family carbapenem-hydrolyzing class D beta-lactamase OXA-181,blaOXA-181,blaOXA,1,blaOXA-48_fam
blaIMP-4,AF244145.1,AAK13078.1,NG_049203.1,WP_015060105.1,blaIMP,Beta-lactam: Carbapenems,Beta-lactam,Carbapenems,subclass B1 metallo-beta-lactamase IMP-4,blaIMP-4,blaIMP,1,blaIMP
,HM486907.1,ADM92621.1,NG_048119.1,WP_015060203.1,sul2,Sulfonamide,Sulfonamide,,sulfonamide-resistant dihydropteroate synthase Sul2,sul2,sul2,3,sul
,U12441.2,AAK95982.1,NG_051851.1,WP_015060228.1,dfrB2,Trimethoprim,Trimethoprim,,trimethoprim-resistant dihydrofolate reductase DfrB2,dfrB2,dfrB2,3,dfr
,FJ012882.1,ACI02996.1,NG_047248.1,WP_015060297.1,aac(3)-IIe,Aminoglycoside: Gentamicin,Aminoglycoside,Gentamicin,aminoglycoside N-acetyltransferase AAC(3)-IIe,aac(3)-IIe,aac(3)-IIe,3,aac(3)
,HM235948.1,ADN51953.1,NG_048210.1,WP_015060376.1,tet(L),Tetracycline,Tetracycline,,tetracycline efflux MFS transporter Tet(L),tet(L),tet(L),3,tet
,GU014535.1,ADD83116.1,NG_048308.1,WP_015060600.1,tet(X2),Tigecycline,Tigecycline,,tetracycline-inactivating monooxygenase Tet(X2),tet(X2),tet(X2),2,tet
blaBES-1,AF234999.1,AAF61147.1,NG_048707.1,WP_015060700.1,blaBES,Beta-lactam: ESBL,Beta-lactam,ESBL,extended spectrum class A beta-lactamase BES-1,blaBES-1,blaBES,2,blaBES
,DQ149925.1,AAZ42322.1,NG_048048.1,WP_015060824.1,qacL,Other non-antimicrobial: Quaternary ammonium,Other non-antimicrobial,Quaternary ammonium,quaternary ammonium compound efflux SMR transporter QacL,qacL,qacL,4,qac
,FJ012881.1,ACI02941.1,NG_048307.1,WP_015060917.1,tet(X3),Tigecycline,Tigecycline,,tetracycline-inactivating monooxygenase Tet(X3),tet(X3),tet(X3),2,tet
blaKPC-4,EU447304.1,ACA34343.1,NG_049258.1,WP_015062847.1,blaKPC,Beta-lactam: Carbapenems,Beta-lactam,Carbapenems,carbapenem-hydrolyzing class A beta-lactamase KPC-4,blaKPC-4,blaKPC,1,blaKPC
,CP016763.1,ACG63565.1,NG_051911.1,WP_015063357.1,qacG2,Other non-antimicrobial: Quaternary ammonium,Other non-antimicrobial,Quaternary ammonium,quaternary ammonium compound efflux SMR transporter QacG2,qacG2,qacG2,4,qac
cfiA2,AB087225.1,BAC06841.1,NG_050391.1,WP_015083750.1,cfiA_fam,Beta-lactam: Carbapenems,Beta-lactam,Carbapenems,subclass B1 metallo-beta-lactamase CfiA2,cfiA2,cfiA,2,cfiA
,AF034958.3,AAD22143.1,NG_051881.1,WP_015243636.1,qacF,Other non-antimicrobial: Quaternary ammonium,Other non-antimicrobial,Quaternary ammonium,quaternary ammonium compound efflux SMR transporter QacF,qacF,qacF,4,qac
blaKPC-5,EU400222.2,ABY91240.1,NG_049259.1,WP_015256839.1,blaKPC,Beta-lactam: Carbapenems,Beta-lactam,Carbapenems,carbapenem-hydrolyzing class A beta-lactamase KPC-5,blaKPC-5,blaKPC,1,blaKPC
blaECV-1,CP003346.1,AGA78874.1,NG_059320.1,WP_015266427.1,blaECV,Beta-lactam: Carbapenems,Beta-lactam,Carbapenems,subclass B1 metallo-beta-lactamase ECV-1,blaECV-1,blaECV,2,blaECV
,AF462611.1,AAL68827.1,NG_047779.1,WP_015345217.1,erm(36),"Lincosamide/Macrolide: Clindamycin, Erythromycin",Lincosamide/Macrolide,"Clindamycin, Erythromycin",23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(36),erm(36),erm(36),3,erm
,KP265721.1,AKO71461.1,NG_047771.1,WP_015345560.1,ere(D),"Macrolide: Erythromycin, Azithromycin",Macrolide,"Erythromycin, Azithromycin",EreD family erythromycin esterase,ere(D),ere(D),3,ere
blaTEM-24,X65253.1,CAA46345.1,NG_050255.1,WP_015365452.1,blaTEM,Beta-lactam: ESBL,Beta-lactam,ESBL,extended-spectrum class A beta-lactamase TEM-24,blaTEM-24,blaTEM,2,blaTEM
,CP003959.1,AGE20052.1,NG_052263.1,WP_015379140.1,aac(6')_Serra,Aminoglycoside: Unknown,Aminoglycoside,Unknown,aminoglycoside 6'-N-acetyltransferase,aac(6')_Serra,aac(6'),3,aac(6')
blaTEM-34,KC292503.1,AGE11905.1,NG_050263.1,WP_015379489.1,blaTEM,"Beta-lactam: Penicillins, Clavulanic acid",Beta-lactam,"Penicillins, Clavulanic acid",inhibitor-resistant broad-spectrum class A beta-lactamase TEM-34,blaTEM-34,blaTEM,3,blaTEM
blaCTX-M-55,DQ810789.1,ABG80523.1,NG_049006.1,WP_015387340.1,blaCTX-M,Beta-lactam: ESBL,Beta-lactam,ESBL,extended-spectrum class A beta-lactamase CTX-M-55,blaCTX-M-55,blaCTX-M,2,blaCTX-M
blaROB-13,CP003745.1,AGH37381.1,NG_059321.1,WP_015431537.1,blaROB,Beta-lactam: Cephalosporins,Beta-lactam,Cephalosporins,broad-spectrum class A beta-lactamase ROB-13,blaROB-13,blaROB,3,blaROB
blaACT-43,KX192162.1,ANE37566.1,NG_050706.1,WP_015572455.1,blaACT,"Beta-lactam: Penicillins, Early Cephalosporins (AmpC)",Beta-lactam,"Penicillins, Early Cephalosporins (AmpC)",cephalosporin-hydrolyzing class C beta-lactamase ACT-43,blaACT-43,blaACT,3,blaACT
,AJ295238.3,CAP58293.1,NG_048139.1,WP_015573055.1,tet(40),Tetracycline,Tetracycline,,tetracycline efflux MFS transporter Tet(40),tet(40),tet(40),3,tet
,AJ295238.3,CAC41371.2,NG_048124.1,WP_015573056.1,tet(O/32/O),Tetracycline,Tetracycline,,tetracycline resistance ribosomal protection mosaic protein Tet(O/32/O),tet(O/32/O),tet(O/32/O),3,tet
,AJ549214.1,CAD70268.1,NG_047857.1,WP_015585966.1,fexA,"Phenicol: Chloramphenicol, Florfenicol",Phenicol,"Chloramphenicol, Florfenicol",chloramphenicol/florfenicol efflux MFS transporter FexA,fexA,fexA,3,fex
blaGIM-1,AJ620678.1,CAF05908.1,NG_049143.1,WP_015588753.1,blaGIM,Beta-lactam: Carbapenems,Beta-lactam,Carbapenems,subclass B1 metallo-beta-lactamase GIM-1,blaGIM-1,blaGIM,2,blaGIM
blaCARB-16,HF953351.1,CCW43444.1,NG_048718.1,WP_015589625.1,blaRTG,"Beta-lactam: Penicillins, Early Cephalosporins",Beta-lactam,"Penicillins, Early Cephalosporins",RTG family carbenicillin-hydrolyzing class A beta-lactamase CARB-16,blaCARB-16,blaRTG,3,blaRTG
,AM992204.1,CAQ51492.1,NG_048197.1,WP_015589629.1,tet(H),Tetracycline,Tetracycline,,tetracycline efflux MFS transporter Tet(H),tet(H),tet(H),3,tet
rmtF1,JQ808129.1,AFJ11385.1,NG_048062.1,WP_015632396.1,rmtF,Aminoglycoside: Pan resistance,Aminoglycoside,Pan resistance,16S rRNA (guanine(1405)-N(7))-methyltransferase RmtF1,rmtF1,rmtF,1,rmt
blaOXA-395,AY306133.1,AAQ76280.1,NG_049684.1,WP_015649877.1,blaOXA-50_fam,"Beta-lactam: Penicillins, Early Cephalosporins",Beta-lactam,"Penicillins, Early Cephalosporins",OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-395,blaOXA-395,blaOXA,3,blaOXA-50_fam
,AP012279.1,BAL75272.1,NG_055769.1,WP_015684602.1,blaBJP,Beta-lactam: Carbapenems,Beta-lactam,Carbapenems,BJP family subclass B3 metallo-beta-lactamase,blaBJP,blaBJP,2,blaBJP
,CP001793.1,ACX65640.1,NG_055645.1,WP_015735625.1,cipA,Macrolide/Lincosamide/Streptogramin,Macrolide/Lincosamide/Streptogramin,,23S rRNA (adenine(2503)-C(8))-methyltransferase CipA,cipA,cipA,3,cipA
,JBFF01000013.1,EUP58247.1,NG_051904.1,WP_015740450.1,qacG,Other non-antimicrobial: Quaternary ammonium,Other non-antimicrobial,Quaternary ammonium,quaternary ammonium compound efflux SMR transporter QacG,qacG,qacG,4,qac
,FN543093.2,CBA31120.1,NG_051888.1,WP_015741374.1,fos-Crono,Fosfomycin,Fosfomycin,,FosA family fosfomycin resistance glutathione transferase,fos-Crono,fos,3,fos
,CP001643.1,ACU86041.1,NG_065845.1,WP_015776248.1,mphH,"Macrolide: Erythromycin, Azithromycin, Tylosin",Macrolide,"Erythromycin, Azithromycin, Tylosin",macrolide 2'-phosphotransferase MphH,mphH,mphH,3,mph
blaTTU-1,CP001614.2,ACR12883.1,NG_059314.1,WP_015818996.1,blaTTU,Beta-lactam: Carbapenems,Beta-lactam,Carbapenems,subclass B1 metallo-beta-lactamase TTU-1,blaTTU-1,blaTTU,2,blaTTU
,AP010904.1,BAH75037.1,NG_050584.1,WP_015860243.1,fosX_gen,Fosfomycin,Fosfomycin,,FosX/FosE/FosI family fosfomycin resistance hydrolase,fosX_gen,fosX,3,fos
,AP008955.1,BAH45481.1,NG_062349.1,WP_015892743.1,clbC,Macrolide/Lincosamide/Streptogramin,Macrolide/Lincosamide/Streptogramin,,23S rRNA (adenine(2503)-C(8))-methyltransferase ClbC,clbC,clbC,3,clb
,CP001336.1,ACL19707.1,NG_055644.1,WP_015943580.1,vanX-I,Glycopeptide: Vancomycin,Glycopeptide,Vancomycin,D-Ala-D-Ala dipeptidase VanX-I,vanX-I,vanX-I,4,van
,ARAZ01000048.1,,NG_050602.1,WP_015943583.1,vanI,Glycopeptide: Vancomycin,Glycopeptide,Vancomycin,D-alanine--(R)-lactate ligase VanI,vanI,vanI,1,van
,AHEL01000071.1,EOO80837.1,NG_055771.1,WP_016078774.1,mphM,Macrolide,Macrolide,,macrolide 2'-phosphotransferase MphM,mphM,mphM,3,mph
blaADC-136,APQJ01000005.1,EOQ64883.1,NG_064692.1,WP_016137488.1,blaADC,"Beta-lactam: Penicillins, Early Cephalosporins (AmpC)",Beta-lactam,"Penicillins, Early Cephalosporins (AmpC)",extended-spectrum class C beta-lactamase ADC-136,blaADC-136,blaADC,3,blaADC
blaOXA-269,APQJ01000007.1,EOQ63861.1,NG_049565.1,WP_016138346.1,blaOXA-213_fam,Beta-lactam: Carbapenems,Beta-lactam,Carbapenems,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-269,blaOXA-269,blaOXA,2,blaOXA-213_fam
blaADC-137,APQM01000001.1,EOQ71234.1,NG_064693.1,WP_016140427.1,blaADC,"Beta-lactam: Penicillins, Early Cephalosporins (AmpC)",Beta-lactam,"Penicillins, Early Cephalosporins (AmpC)",extended-spectrum class C beta-lactamase ADC-137,blaADC-137,blaADC,3,blaADC
blaOXA-270,APQM01000006.1,EOQ69512.1,NG_049567.1,WP_016141238.1,blaOXA-213_fam,Beta-lactam: Carbapenems,Beta-lactam,Carbapenems,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-270,blaOXA-270,blaOXA,2,blaOXA-213_fam
blaOXA-271,APQO01000006.1,EOQ72432.1,NG_049568.1,WP_016145058.1,blaOXA-213_fam,Beta-lactam: Carbapenems,Beta-lactam,Carbapenems,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-271,blaOXA-271,blaOXA,2,blaOXA-213_fam
blaADC-138,APQO01000006.1,EOQ73533.1,NG_064694.1,WP_016146025.1,blaADC,"Beta-lactam: Penicillins, Early Cephalosporins (AmpC)",Beta-lactam,"Penicillins, Early Cephalosporins (AmpC)",extended-spectrum class C beta-lactamase ADC-138,blaADC-138,blaADC,3,blaADC
blaCMY-101,KF526114.1,AHA80102.1,NG_048771.1,WP_016155498.1,blaCMY,"Beta-lactam: Penicillins, Early Cephalosporins (AmpC)",Beta-lactam,"Penicillins, Early Cephalosporins (AmpC)",class C beta-lactamase CMY-101,blaCMY-101,blaCMY,3,blaCMY
blaLEN-31,ASQN01000016.1,EOQ54266.1,NG_050605.1,WP_016160983.1,blaLEN,Beta-lactam: Unknown,Beta-lactam,Unknown,class A beta-lactamase LEN-31,blaLEN-31,blaLEN,3,blaLEN
blaOXA-673,AQFL01000004.1,EOR10283.1,NG_062214.1,WP_016162389.1,blaOXA-286_fam,Beta-lactam: Carbapenems,Beta-lactam,Carbapenems,OXA-286 family carbapenem-hydrolyzing class D beta-lactamase OXA-673,blaOXA-673,blaOXA,2,blaOXA-286_fam
,AQFL01000007.1,EOR09207.1,NG_052166.1,WP_016162901.1,aacA-ACI6,"Aminoglycoside: Amikacin, Kanamycin, Tobramycin",Aminoglycoside,"Amikacin, Kanamycin, Tobramycin",AAC(6')-Ighjkrstuvwx family aminoglycoside N-acetyltransferase,aacA-ACI6,aac(6')-I,3,aacA
,AHYR01000006.1,EOT40837.1,NG_052169.1,WP_016172918.1,aac(6')_Entco,Aminoglycoside: Unknown,Aminoglycoside,Unknown,aminoglycoside 6'-N-acetyltransferase,aac(6')_Entco,aac(6')-I,3,aac(6')
,AHYU01000052.1,EOT29546.1,NG_052168.1,WP_016177698.1,aacA-ENT3,Aminoglycoside: Unknown,Aminoglycoside,Unknown,aminoglycoside 6'-N-acetyltransferase,aacA-ENT3,aac(6')-I,3,aacA
blaPDC-286,MH450141.1,AWU66403.1,NG_060538.1,WP_016252988.1,blaPDC,"Beta-lactam: Penicillins, Early Cephalosporins (AmpC)",Beta-lactam,"Penicillins, Early Cephalosporins (AmpC)",class C beta-lactamase PDC-286,blaPDC-286,blaPDC,3,blaPDC
blaPDC-20,JF326296.1,AEM44531.1,NG_049892.1,WP_016263090.1,blaPDC,"Beta-lactam: Penicillins, Early Cephalosporins (AmpC)",Beta-lactam,"Penicillins, Early Cephalosporins (AmpC)",class C beta-lactamase PDC-20,blaPDC-20,blaPDC,3,blaPDC
,AY489045.1,AAR37056.1,NG_048412.1,WP_016295750.1,vanR-D,Glycopeptide: Vancomycin,Glycopeptide,Vancomycin,vancomycin resistance response regulator transcription factor VanR-D,vanR-D,vanR-D,4,van
,HQ679900.1,AEI58860.1,NG_048330.1,WP_016331865.1,vanA-Ao2,Glycopeptide: Vancomycin,Glycopeptide,Vancomycin,D-alanine--(R)-lactate ligase VanA-Ao2,vanA-Ao2,vanA-Ao2,1,van
,HQ679900.1,AEI58861.1,NG_048480.1,WP_016331866.1,vanX-Ao2,Glycopeptide: Vancomycin,Glycopeptide,Vancomycin,D-Ala-D-Ala dipeptidase VanX-Ao2,vanX-Ao2,vanX-Ao2,4,van
,AF207840.1,AAG13458.1,NG_047400.1,WP_016439437.1,aph(2'')-IIa,"Aminoglycoside: Amikacin, Gentamicin, Kanamycin, Tobramycin",Aminoglycoside,"Amikacin, Gentamicin, Kanamycin, Tobramycin",aminoglycoside O-phosphotransferase APH(2'')-IIa,aph(2'')-IIa,aph(2'')-IIa,3,aph(2'')
aac(6')-Ih,L29044.1,AAC41391.1,NG_047297.1,WP_016541245.1,aac(6')_Acine,"Aminoglycoside: Amikacin, Kanamycin, Tobramycin",Aminoglycoside,"Amikacin, Kanamycin, Tobramycin",aminoglycoside N-acetyltransferase AAC(6')-Ih,aac(6')-Ih,aac(6')-I,3,aac(6')
blaPDC-31,KJ949048.1,AIG19970.1,NG_049903.1,WP_016562272.1,blaPDC,"Beta-lactam: Penicillins, Early Cephalosporins (AmpC)",Beta-lactam,"Penicillins, Early Cephalosporins (AmpC)",class C beta-lactamase PDC-31,blaPDC-31,blaPDC,3,blaPDC
aac(6')-Isa,AB116646.1,BAD10948.2,NG_047311.1,WP_016575755.1,aac(6')_Strep,Aminoglycoside: Unknown,Aminoglycoside,Unknown,aminoglycoside N-acetyltransferase AAC(6')-Isa,aac(6')-Isa,aac(6'),3,aac(6')
,ATIS01000069.1,EPI08854.1,NG_052290.1,WP_016628216.1,aacA-ENT1,Aminoglycoside: Unknown,Aminoglycoside,Unknown,aminoglycoside 6'-N-acetyltransferase,aacA-ENT1,aac(6')-I,3,aacA
blaOXA-670,ATGK01000003.1,EPG42609.1,NG_062219.1,WP_016651348.1,blaOXA-286_fam,Beta-lactam: Carbapenems,Beta-lactam,Carbapenems,OXA-286 family carbapenem-hydrolyzing class D beta-lactamase OXA-670,blaOXA-670,blaOXA,2,blaOXA-286_fam
aac(6')-Ij,L29045.1,AAC41392.1,NG_047301.1,WP_016651650.1,aac(6')_Acine,"Aminoglycoside: Amikacin, Kanamycin, Tobramycin",Aminoglycoside,"Amikacin, Kanamycin, Tobramycin",aminoglycoside N-acetyltransferase AAC(6')-Ij,aac(6')-Ij,aac(6')-I,3,aac(6')
,ATGI01000028.1,EPF73263.1,NG_055649.1,WP_016656536.1,aph(3')-VIIIb,"Aminoglycoside: Amikacin, Kanamycin",Aminoglycoside,"Amikacin, Kanamycin",aminoglycoside O-phosphotransferase APH(3')-VIIIb,aph(3')-VIIIb,aph(3')-VIIIb,3,aph(3')
blaOXA-665,ATGI01000038.1,EPF70268.1,NG_062217.1,WP_016657654.1,blaOXA,Beta-lactam: Carbapenems,Beta-lactam,Carbapenems,carbapenem-hydrolyzing class D beta-lactamase OXA-665,blaOXA-665,blaOXA,2,blaOXA
blaOXA-715,MK011173.1,AYG97704.1,NG_062343.1,WP_016685888.1,blaOXA-51_fam,Beta-lactam: Carbapenems (OXA-51 family),Beta-lactam,Carbapenems (OXA-51 family),OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-715,blaOXA-715,blaOXA,2,blaOXA-51_fam
blaADC-350,PP328948.1,WVW91701.1,NG_242538.1,WP_016804156.1,blaADC,"Beta-lactam: Penicillins, Early Cephalosporins (AmpC)",Beta-lactam,"Penicillins, Early Cephalosporins (AmpC)",extended-spectrum class C beta-lactamase ADC-350,blaADC-350,blaADC,3,blaADC
blaFOX-5,AY007369.1,AAG12974.1,NG_049105.1,WP_016809943.1,blaFOX,"Beta-lactam: Penicillins, Early Cephalosporins (AmpC)",Beta-lactam,"Penicillins, Early Cephalosporins (AmpC)",cephalosporin-hydrolyzing class C beta-lactamase FOX-5,blaFOX-5,blaFOX,3,blaFOX
blaOXA-396,AY306135.1,AAQ76282.1,NG_049685.1,WP_016852290.1,blaOXA-50_fam,"Beta-lactam: Penicillins, Early Cephalosporins",Beta-lactam,"Penicillins, Early Cephalosporins",OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-396,blaOXA-396,blaOXA,3,blaOXA-50_fam
fosB3,HQ219726.1,ADX95999.1,NG_050412.1,WP_016922374.1,fosB-Saur,Fosfomycin,Fosfomycin,,fosfomycin resistance bacillithiol transferase FosB3,fosB3,fosB,3,fos
aac(6')-Ial,AB871481.1,BAO05514.1,NG_047281.1,WP_016930164.1,aac(6')_Serra,Aminoglycoside: Unknown,Aminoglycoside,Unknown,aminoglycoside N-acetyltransferase AAC(6')-Ial,aac(6')-Ial,aac(6'),3,aac(6')
oqxB25,KF414085.1,AGZ20246.1,NG_050444.1,WP_016947602.1,oqxB,Phenicol/Quinolone,Phenicol/Quinolone,,multidrug efflux RND transporter permease subunit OqxB25,oqxB25,oqxB,3,oqx
blaOXA-1028,MZ672127.1,QYH55600.1,NG_076825.1,WP_017002439.1,blaOXA-50_fam,"Beta-lactam: Penicillins, Early Cephalosporins",Beta-lactam,"Penicillins, Early Cephalosporins",OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1028,blaOXA-1028,blaOXA,3,blaOXA-50_fam
blaOXY-2-7,Z49084.1,CAA88908.1,NG_049856.1,WP_017146441.1,blaOXY-2,Beta-lactam: ESBL,Beta-lactam,ESBL,extended-spectrum class A beta-lactamase OXY-2-7,blaOXY-2-7,blaOXY,2,blaOXY
blaACT-27,KJ207209.1,AHL39340.1,NG_048613.1,WP_017383966.1,blaACT,"Beta-lactam: Penicillins, Early Cephalosporins (AmpC)",Beta-lactam,"Penicillins, Early Cephalosporins (AmpC)",cephalosporin-hydrolyzing class C beta-lactamase ACT-27,blaACT-27,blaACT,3,blaACT
blaADC-150,KR153290.1,AKT73351.1,NG_064705.1,WP_017386568.1,blaADC,"Beta-lactam: Penicillins, Early Cephalosporins (AmpC)",Beta-lactam,"Penicillins, Early Cephalosporins (AmpC)",extended-spectrum class C beta-lactamase ADC-150,blaADC-150,blaADC,3,blaADC
blaOXA-421,KM401566.1,AIZ00987.1,NG_049709.1,WP_017386798.1,blaOXA-213_fam,Beta-lactam: Carbapenems,Beta-lactam,Carbapenems,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-421,blaOXA-421,blaOXA,2,blaOXA-213_fam
,AMJB01000211.1,,NG_052255.1,WP_017395772.1,aacA-ACI1,"Aminoglycoside: Amikacin, Kanamycin, Tobramycin",Aminoglycoside,"Amikacin, Kanamycin, Tobramycin",AAC(6')-Ighjkrstuvwx family aminoglycoside N-acetyltransferase,aacA-ACI1,aac(6')-I,3,aacA
blaADC-70,LLIO01000035.1,KQG48886.1,NG_051317.1,WP_017480710.1,blaADC,"Beta-lactam: Penicillins, Early Cephalosporins (AmpC)",Beta-lactam,"Penicillins, Early Cephalosporins (AmpC)",extended-spectrum class C beta-lactamase ADC-70,blaADC-70,blaADC,3,blaADC
blaACT-17,KF992026.1,AHM76771.1,NG_048603.1,WP_017694683.1,blaACT,"Beta-lactam: Penicillins, Early Cephalosporins (AmpC)",Beta-lactam,"Penicillins, Early Cephalosporins (AmpC)",cephalosporin-hydrolyzing class C beta-lactamase ACT-17,blaACT-17,blaACT,3,blaACT
